Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),RH (%),WS (m/s),TOT-RF (mm),SR (W/mt2),BP (mmHg)
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T19:00:00.000000+0000,61,128,3.7,26.4,17,22.8,3.9,77,1.5,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T19:15:00.000000+0000,61,128,4,24.5,16.3,22.1,4.3,76,1.6,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T19:30:00.000000+0000,61,128,4.9,25.1,17.4,22.9,3.9,77,1.8,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T19:45:00.000000+0000,66,137,3.3,26.1,16.5,21.7,2.4,77,1.9,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T20:00:00.000000+0000,66,137,2.6,22.7,14.2,23.1,4.4,77,1.5,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T20:15:00.000000+0000,66,137,4.8,24.8,17.1,24.9,4.5,78,1.6,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T20:30:00.000000+0000,66,137,3.8,26.7,17.3,20.9,5.7,78,1.5,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T20:45:00.000000+0000,68,125,3,26.9,16.8,20,4.2,78,1.2,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T21:00:00.000000+0000,68,125,4.2,25.4,16.9,21.5,6.1,77,1.2,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T21:15:00.000000+0000,68,125,4.3,26.3,17.5,19.2,4.7,77,1.1,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T21:30:00.000000+0000,,,,,,,,,,0,,
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T21:45:00.000000+0000,59,132,3.6,33.3,20.7,21.8,4.5,78,1.3,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T22:00:00.000000+0000,59,132,4.9,31.5,20.8,20.4,3.1,79,1.3,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T22:15:00.000000+0000,59,132,3.1,29.5,18.2,22.8,2.9,79,1.5,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T22:30:00.000000+0000,,,,,,,,,,0,,
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T22:45:00.000000+0000,54,112,3.6,22.8,15.1,23.6,4.3,79,1.2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T23:00:00.000000+0000,54,112,5.1,24,16.9,21.5,2.4,80,1,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T23:15:00.000000+0000,54,112,4,23.7,15.9,22.5,2.7,80,0.9,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T23:30:00.000000+0000,54,112,2.5,24.8,15.3,23.2,3.4,81,0.9,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T23:45:00.000000+0000,50,95,5.5,20.6,15.4,23.3,2.4,81,0.8,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T00:00:00.000000+0000,50,95,4.4,22.5,15.5,22.9,0.8,81,0.7,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T00:15:00.000000+0000,50,95,3.6,17.8,12.4,25.1,1.3,81,0.9,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T00:30:00.000000+0000,50,95,6.7,14.6,13.2,25.2,0.1,80,0.8,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T00:45:00.000000+0000,32,72,6.5,13.4,12.4,26,0.6,81,0.9,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T01:00:00.000000+0000,32,72,4.3,20.5,14.4,23.9,2.2,81,0.9,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T01:15:00.000000+0000,32,72,3.3,18.5,12.6,25.4,1.7,82,0.9,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T01:30:00.000000+0000,32,72,4.2,18.9,13.5,25.2,2.6,82,0.8,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T01:45:00.000000+0000,46,81,4.2,23.2,15.7,23.2,3.4,82,1.2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T02:00:00.000000+0000,46,81,3.5,21.8,14.4,24,5.9,83,0.9,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T02:15:00.000000+0000,46,81,2.9,22,14.1,24.7,5.5,83,1.2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T02:30:00.000000+0000,46,81,2.5,22.8,14.2,23.3,5.3,84,1.2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T02:45:00.000000+0000,50,99,2.9,23.3,14.7,23.9,5.6,84,1.1,0,50,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T03:00:00.000000+0000,50,99,4.2,21.4,14.8,25.2,5.3,85,1,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T03:15:00.000000+0000,50,99,5.1,20.4,15,23.6,5.8,84,1.3,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T03:30:00.000000+0000,50,99,4.6,21.5,15.2,24.4,4.6,84,1.2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T03:45:00.000000+0000,41,90,2.5,18.5,11.9,24.8,5.7,85,1.2,0,50,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T04:00:00.000000+0000,41,90,4.8,16.7,12.8,25.9,3.8,85,0.9,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T04:15:00.000000+0000,41,90,3.1,21.4,13.9,26.8,3.4,86,0.8,0,51,720
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T04:30:00.000000+0000,41,90,4.8,26.4,18,20.1,3,87,0.8,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T04:45:00.000000+0000,48,87,3.5,31.4,19.6,22.6,2.6,87,0.9,0,50,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T05:00:00.000000+0000,48,87,4.5,28.9,19,21.9,2.6,87,1.2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T05:15:00.000000+0000,48,87,3.4,30.4,19,21.9,3.6,88,1.4,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T05:30:00.000000+0000,48,87,6.9,31.7,22.5,22,5.9,88,1.5,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T05:45:00.000000+0000,46,108,4.7,27.4,18.4,20.6,6.9,88,1.8,0,50,719
