Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T11:30:00.000000+0000,74.0,134.2,5.56,,,10.1,28.05,0.36,2.9,,,,,,,29.31,,2.31,114.52,,0.0,549.89,1015.77,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T11:45:00.000000+0000,79.87,144.92,5.3,,,11.0,27.75,0.38,1.9,,,,,,,29.36,,2.5,78.13,,0.0,606.94,1015.53,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T12:00:00.000000+0000,82.0,148.6,5.52,,,11.07,28.28,0.4,2.79,,,,,,,29.28,,2.16,58.26,,0.0,431.26,1015.34,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T12:15:00.000000+0000,82.0,148.6,5.68,,,10.89,28.47,0.42,1.99,,,,,,,29.14,,1.87,69.63,,0.0,309.46,1015.15,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T12:30:00.000000+0000,82.0,148.6,5.55,,,11.13,28.24,0.4,1.91,,,,,,,28.89,,1.98,68.14,,0.0,295.27,1014.85,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T12:45:00.000000+0000,74.06,134.08,5.51,,,10.92,28.91,0.36,1.89,,,,,,,28.95,,1.93,71.74,,0.0,321.85,1014.66,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T13:00:00.000000+0000,71.0,128.8,5.41,,,11.11,28.6,0.36,2.44,,,,,,,28.8,,1.97,73.78,,0.0,280.23,1014.41,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T13:15:00.000000+0000,71.0,128.8,5.33,,,11.11,28.22,0.37,2.53,,,,,,,28.79,,1.9,69.56,,0.0,332.57,1014.13,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T13:30:00.000000+0000,71.0,128.8,5.35,,,10.88,28.42,0.4,2.79,,,,,,,29.07,,2.38,56.9,,0.0,508.02,1013.9,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T13:45:00.000000+0000,70.28,127.48,5.33,,,10.53,27.9,0.33,1.73,,,,,,,28.85,,2.16,60.86,,0.0,274.74,1013.71,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T14:00:00.000000+0000,70.0,127.0,5.55,,,10.05,28.35,0.29,1.5,,,,,,,29.01,,2.01,55.46,,0.0,322.42,1013.58,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T14:15:00.000000+0000,70.0,127.0,5.67,,,10.13,27.75,0.33,1.91,,,,,,,28.74,,2.05,60.61,,0.0,255.08,1013.43,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T14:30:00.000000+0000,70.0,127.0,5.73,,,10.2,28.77,0.39,2.64,,,,,,,28.74,,2.46,52.24,,0.0,302.81,1013.19,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T14:45:00.000000+0000,68.53,124.32,5.79,,0.21,10.23,28.11,0.43,2.83,,,,,,,28.79,,1.85,70.82,,0.0,328.99,1013.05,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T15:00:00.000000+0000,68.0,123.4,5.79,,0.2,10.39,28.77,0.27,2.14,,,,,,,29.0,,2.26,69.8,,0.0,312.19,1012.96,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T15:15:00.000000+0000,68.0,123.4,5.79,,,10.6,28.14,0.35,1.07,,,,,,,28.83,,2.1,50.25,,0.0,234.34,1012.85,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T15:30:00.000000+0000,68.0,123.4,5.72,,1.29,9.4,28.94,0.21,2.18,,,,,,,28.94,,1.99,67.36,,0.0,274.48,1012.69,
